2024-03-24 17:37:06,745 - INFO - Starting DNS log analysis.
2024-03-24 17:37:06,746 - WARNING - 17:37:06,745939 - Suspicious domain detected (based on probability): 197.198.118.18.in-addr.arpa - Probability: 0.0
2024-03-24 17:37:06,747 - WARNING - 17:37:06,746995 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,747 - WARNING - 17:37:06,747099 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,748 - WARNING - 17:37:06,748415 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,748 - WARNING - 17:37:06,748637 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,748 - WARNING - 17:37:06,748828 - Suspicious domain detected (based on probability): 15.2.0.10.in-addr.arpa - Probability: 0.0
2024-03-24 17:37:06,749 - WARNING - 17:37:06,749048 - Suspicious domain detected (based on probability): 15.2.0.10.in-addr.arpa - Probability: 0.0
2024-03-24 17:37:06,749 - WARNING - 17:37:06,749208 - Suspicious domain detected (based on probability): api.snapcraft.io - Probability: 0.0
2024-03-24 17:37:06,749 - WARNING - 17:37:06,749373 - Suspicious domain detected (based on probability): api.snapcraft.io - Probability: 0.0
2024-03-24 17:37:06,749 - WARNING - 17:37:06,749516 - Suspicious domain detected (based on probability): api.snapcraft.io - Probability: 0.0
2024-03-24 17:37:06,749 - WARNING - 17:37:06,749659 - Suspicious domain detected (based on probability): 15.2.0.10.in-addr.arpa - Probability: 0.0
2024-03-24 17:37:06,749 - WARNING - 17:37:06,749822 - Suspicious domain detected (based on probability): 15.2.0.10.in-addr.arpa - Probability: 0.0
2024-03-24 17:37:06,750 - WARNING - 17:37:06,749983 - Suspicious domain detected (based on probability): 25.206.244.10.in-addr.arpa - Probability: 0.0
2024-03-24 17:37:06,750 - WARNING - 17:37:06,750165 - Suspicious domain detected (based on probability): 25.206.244.10.in-addr.arpa - Probability: 0.0
2024-03-24 17:37:06,750 - WARNING - 17:37:06,750454 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,750 - WARNING - 17:37:06,750634 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,751 - WARNING - 17:37:06,750927 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,751 - WARNING - 17:37:06,751140 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,752 - WARNING - 17:37:06,752433 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,752 - WARNING - 17:37:06,752639 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,753 - WARNING - 17:37:06,753320 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,753 - WARNING - 17:37:06,753415 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,753 - WARNING - 17:37:06,753669 - Suspicious domain detected (based on probability): 197.198.118.18.in-addr.arpa - Probability: 0.0
2024-03-24 17:37:06,754 - WARNING - 17:37:06,754053 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,754 - WARNING - 17:37:06,754295 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,754 - WARNING - 17:37:06,754543 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,754 - WARNING - 17:37:06,754621 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,755 - WARNING - 17:37:06,754910 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,755 - WARNING - 17:37:06,755082 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,756 - WARNING - 17:37:06,755881 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,756 - WARNING - 17:37:06,756105 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,756 - WARNING - 17:37:06,756486 - Suspicious domain detected (based on probability): www.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,756 - WARNING - 17:37:06,756630 - Suspicious domain detected (based on probability): www.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,757 - WARNING - 17:37:06,756940 - Suspicious domain detected (based on probability): 15.2.0.10.in-addr.arpa - Probability: 0.0
2024-03-24 17:37:06,757 - WARNING - 17:37:06,757137 - Suspicious domain detected (based on probability): 15.2.0.10.in-addr.arpa - Probability: 0.0
2024-03-24 17:37:06,757 - WARNING - 17:37:06,757305 - Suspicious domain detected (based on probability): 25.206.244.10.in-addr.arpa - Probability: 0.0
2024-03-24 17:37:06,757 - WARNING - 17:37:06,757475 - Suspicious domain detected (based on probability): 25.206.244.10.in-addr.arpa - Probability: 0.0
2024-03-24 17:37:06,757 - WARNING - 17:37:06,757643 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,758 - WARNING - 17:37:06,757891 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,758 - WARNING - 17:37:06,758416 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,758 - WARNING - 17:37:06,758498 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,758 - WARNING - 17:37:06,758667 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,759 - WARNING - 17:37:06,759295 - Suspicious domain detected (based on probability): www.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,759 - WARNING - 17:37:06,759439 - Suspicious domain detected (based on probability): www.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,760 - WARNING - 17:37:06,759892 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,760 - WARNING - 17:37:06,760827 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,761 - WARNING - 17:37:06,760989 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,761 - WARNING - 17:37:06,761460 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,761 - WARNING - 17:37:06,761706 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,762 - WARNING - 17:37:06,762052 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,762 - WARNING - 17:37:06,762339 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,762 - WARNING - 17:37:06,762421 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,763 - WARNING - 17:37:06,762919 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,763 - WARNING - 17:37:06,763181 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,763 - WARNING - 17:37:06,763419 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,763 - WARNING - 17:37:06,763690 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,764 - WARNING - 17:37:06,763917 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,764 - WARNING - 17:37:06,764148 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,764 - WARNING - 17:37:06,764463 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,764 - WARNING - 17:37:06,764690 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,765 - WARNING - 17:37:06,765026 - Suspicious domain detected (based on probability): 1D.tlu.dl.delivery.mp.microsoft.com - Probability: 0.0
2024-03-24 17:37:06,765 - WARNING - 17:37:06,765551 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,765 - WARNING - 17:37:06,765717 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,766 - WARNING - 17:37:06,765872 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,766 - WARNING - 17:37:06,766400 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,766 - WARNING - 17:37:06,766628 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,766 - WARNING - 17:37:06,766803 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,767 - WARNING - 17:37:06,767514 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,767 - WARNING - 17:37:06,767664 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,767 - WARNING - 17:37:06,767863 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,768 - WARNING - 17:37:06,768211 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,768 - WARNING - 17:37:06,768291 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,768 - WARNING - 17:37:06,768431 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,768 - WARNING - 17:37:06,768662 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,768 - WARNING - 17:37:06,768837 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,769 - WARNING - 17:37:06,769304 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,769 - WARNING - 17:37:06,769452 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,769 - WARNING - 17:37:06,769589 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,771 - WARNING - 17:37:06,771014 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,771 - WARNING - 17:37:06,771112 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,771 - WARNING - 17:37:06,771368 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,772 - WARNING - 17:37:06,771992 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,772 - WARNING - 17:37:06,772186 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
2024-03-24 17:37:06,773 - WARNING - 17:37:06,773557 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,773 - WARNING - 17:37:06,773652 - Suspicious domain detected: hiper.sonar.software
2024-03-24 17:37:06,774 - WARNING - 17:37:06,774003 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,774 - WARNING - 17:37:06,774157 - Suspicious domain detected (based on probability): ssl.gstatic.com - Probability: 0.0
2024-03-24 17:37:06,774 - WARNING - 17:37:06,774395 - Suspicious domain detected (based on probability): connectivity-check.ubuntu.com - Probability: 0.0
